District,Ad,FM_Numbers,BDI,Short_Description,Number_of_Contracts_Awarded,Contract_Threshold,Major_Work_Types,Minor_Work_Types,Under_Utilized_Work_Groups,Contract_Amount_Limit,Advertisement_Date,Response_Deadline_Date_Time,Shortlist_Selection_Date,Final_Selection_Date,Selection_Method,Standard_Notes
01,22145," 20121052201 
 20121053201 
 20121072201 
 20121073201",No,I-4 AT US 27 (SR 25); I-4 AT US 27 BACKAGE ROAD,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 3.3-Controlled Access Highway Design"," 3.1-Minor Highway Design 
 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 4.2.1-Major Bridge Design - Concrete 
 4.2.2-Major Bridge Design - Steel 
 5.4-Bridge Load Rating 
 6.2-Traffic Signal Timing 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing 
 13.4-Systems Planning 
 15.0-Landscape Architect"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$7,438,700.00",03/14/2022,03/28/2022 05:00 PM,04/12/2022,05/10/2022, Letter of Response and Oral Presentation," Standard Note 8  
 Standard Note 13"
01,23101, 43264413206,No,DRAINAGE SUPPORT CONSULTANT-DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 3.2-Major Highway Design"," 2.0-Proj Development & Environmental (PD&E) Studies 
 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00",09/12/2022,09/26/2022 05:00 PM,10/18/2022,11/15/2022, Letter of Response and Interview, Standard Note 8 
01,23102, 19823012214,No,DEMO CONSULTANT CONTRACT DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 13.4-Systems Planning 
 13.5-Subarea/Corridor Planning", GROUP 4-Highway Design - Bridges,"$1,500,000.00",04/18/2022,05/02/2022 05:00 PM,05/24/2022,06/21/2022, Letter of Response and Interview, Standard Note 8 
01,23103,,No,STATISTICS TRAFFIC DATA COLLECTION,1,Technically Prequalified & Unlimited Audit required," 6.1-Traffic Engineering Studies 
 13.7-Transportation Statistics",,,"$1,500,000.00",06/27/2022,07/12/2022 05:00 PM,08/02/2022,08/30/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
01,23104,,No,SAFETY STUDY & MINOR DESIGN CSC,1,Technically Prequalified & Unlimited Audit required, 6.1-Traffic Engineering Studies," 3.1-Minor Highway Design 
 4.1.1-Miscellaneous Structures 
 6.2-Traffic Signal Timing 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization", GROUP 4-Highway Design - Bridges,"$5,000,000.00",09/12/2022,09/26/2022 05:00 PM,10/18/2022,11/15/2022, Letter of Response and Interview, Standard Note 8 
01,23105,,No,RESURFACING-CSC,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 6.2-Traffic Signal Timing 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 6.3.2-Intelligent Trans Systems Implementation 
 6.3.3-Intelligent Trans Traffic Engin. Communications 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 15.0-Landscape Architect", GROUP 4-Highway Design - Bridges,"$5,000,000.00",01/30/2023,02/13/2023 05:00 PM,03/07/2023,04/04/2023, Letter of Response and Interview, Standard Note 8 
01,23107," 44893013201 
 44893013202",Yes,SR 45 (US 41) FROM N OF THOMASSON DR TO S OF SW BLVD,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 6.1-Traffic Engineering Studies 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 6.3.2-Intelligent Trans Systems Implementation 
 6.3.3-Intelligent Trans Traffic Engin. Communications 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.2-Design, Right of Way, Construction Surveying",,"$1,270,974.00",08/15/2022,08/29/2022 05:00 PM,09/20/2022,10/25/2022, Letter of Response and Interview, Standard Note 7 
01,23109," 44893613201 
 44893613202",No,SR 700 (US 98) FROM E OF FLORAL DR TO N OF BRIDGE 090032,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,450,469.00",05/02/2022,05/16/2022 05:00 PM,06/07/2022,07/12/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
01,23111," 44737913201 
 44737913202 
 44912013202",No,SR 55 (US 19) FROM TERRA CEIA RD TO I-275,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,881,887.00",04/11/2022,04/25/2022 05:00 PM,05/17/2022,06/14/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
01,23112," 44897413201 
 44897413202 
 44897613202",No,SR 15 (US 98) FROM NW 3RD ST TO NE 120TH ST,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$2,362,773.00",06/13/2022,06/27/2022 05:00 PM,07/19/2022,08/16/2022, Letter of Response and Oral Presentation, Standard Note 8 
