S_No,Organisation_Name,Tender_Count
1,ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL,5
2,Airports Authority of India,176
3,Aravali Power Company Pvt. Ltd - IGSTPP,31
4,Armoured Vehicles Nigam Limited,25
5,Bharat Sanchar Nigam Limited (Govt of India Enterprise),260
6,Bokaro Power Supply Company (P) Limited,18
7,Brahmaputra Cracker and Polymer Limited,3
8,Brahmaputra Valley Fertilizer Corporation Limited,7
9,Cement Corporation of India Limted,46
10,Central Electronics Limited,10
11,Cochin Shipyard Limited,4
12,Council of Scientific and Industrial Research,198
13,Damodar Valley Corporation,59
14,Delhi Police Housing Corporation Ltd,19
15,East Delhi Municipal Corporation (EDMC),2
16,GAIL Gas Limited,2
17,GAIL (India) Limited,46
18,Heavy Engineering Corporation Limited,8
19,Hindustan Copper Limited,6
20,HITES,41
21,HLL Lifecare Limited,165
22,HPCL Biofuels Limited,12
23,Indian Institute of Technology Madras,17
24,Indian Oil-Adani Gas Private Limited,17
25,Indian Port Rail Corporation Ltd.,1
26,India Tourism Development Corporation Ltd.,2
27,Instrumentation Ltd ( Govt of India Enterprise),34
28,IRCON International Limited,16
29,IREL (INDIA) Limited,8
30,Jhabua Power Ltd,12
31,Karmayogi Bharat (Delhi) - World Bank Tenders,2
32,Konkan LNG Limited,1
33,Madhya Pradesh Metro Rail Corporation Limited,3
34,Maharashtra Natural Gas Ltd.,5
35,Meja Urja Nigam Pvt Ltd,3
36,Municipal Corporation of Delhi,222
37,Munitions India Limited,32
38,National Capital Region Transport Corporation,4
39,National Fertilizers Limited,39
40,National High Speed Rail Corporation Limited,2
41,National Highways Authority of India,264
42,National Informatics Centre Services Incorporated,2
43,National Projects Construction Corporation Limited,6
44,North Delhi Municipal Corporation,16
45,North Eastern Electric Power Corporation Limited,6
46,NTECL,10
47,Nuclear Power Corporation Of India Limited,15
48,Ratle Hydroelectric Power Corporation Limited,1
49,RITES Ltd.,16
50,South Delhi Municipal Corporation,15
51,Telecommunications Consultants India Limited,28
52,TROOP COMFORTS LIMITED,2
53,Uranium Corporation of India Limited,42
54,Uttar Pradesh Metro Rail Corporation Limited,10
55,Visakhapatnam Port Trust,23
56,V.O.Chidambaranar Port Trust,5
57,WAPCOS Limited,13
